year,type,median_magt,mean_magt,ci_lower,ci_upper
2007,real,-3.4244,-2.0822,,
2008,real,-3.4570,-2.0175,,
2009,real,-3.1650,-1.7725,,
2010,real,-3.2756,-1.9733,,
2011,real,-3.0295,-1.8117,,
2012,real,-3.3040,-2.0017,,
2013,real,-3.6591,-2.2902,,
2014,real,-3.3445,-2.0261,,
2015,real,-2.9110,-1.7218,,
2016,real,-3.1450,-1.7880,,
2017,real,-3.1126,-1.7192,,
2018,real,-2.9280,-1.6226,,
2019,real,-2.6171,-1.4091,,
2020,real,-2.5967,-1.3790,,
2021,real,-2.4367,-1.2236,,
2022,real,-2.4615,-1.3321,,
2023,real,-2.2088,-1.1187,,
2024,real,-2.3657,-1.1526,,
2025,extrapolation,-2.2846,,-2.9848,-1.5562
2026,extrapolation,-2.2107,,-2.9237,-1.4717
2027,extrapolation,-2.1374,,-2.8629,-1.3837
2028,extrapolation,-2.0643,,-2.8012,-1.2965
2029,extrapolation,-1.9889,,-2.7627,-1.2071
2030,extrapolation,-1.9144,,-2.7117,-1.1167
