year,seed_42,seed_123,seed_456,mean,std,min,max
2026,-2.3662,-2.1900,-1.7348,-2.0970,0.2660,-2.3662,-1.7348
2027,-2.4068,-2.3162,-1.8587,-2.1939,0.2399,-2.4068,-1.8587
2028,-2.2658,-2.1216,-1.6557,-2.0144,0.2604,-2.2658,-1.6557
2029,-2.3350,-2.2830,-1.8205,-2.1462,0.2313,-2.3350,-1.8205
2030,-2.0603,-1.9343,-1.4727,-1.8224,0.2526,-2.0603,-1.4727
2031,-1.9974,-1.8721,-1.4146,-1.7614,0.2505,-1.9974,-1.4146
2032,-1.9342,-1.8076,-1.3531,-1.6983,0.2495,-1.9342,-1.3531
2033,-1.8702,-1.7453,-1.2943,-1.6366,0.2474,-1.8702,-1.2943
2034,-1.8053,-1.6953,-1.2344,-1.5783,0.2473,-1.8053,-1.2344
2035,-1.7403,-1.6334,-1.1741,-1.5159,0.2456,-1.7403,-1.1741
