year,mean,std,min,max,range,seed_42,seed_123,seed_456,seed_7,seed_99,seed_777,seed_2024
2026,-2.0974,0.1860,-2.3662,-1.7348,0.6313,-2.3662,-2.1900,-1.7348,-2.1704,-2.1777,-1.9636,-2.0790
2027,-2.2045,0.1706,-2.4068,-1.8587,0.5481,-2.4068,-2.3162,-1.8587,-2.2342,-2.2608,-2.0650,-2.2897
2028,-2.0007,0.1801,-2.2658,-1.6557,0.6101,-2.2658,-2.1216,-1.6557,-2.0665,-2.0523,-1.8792,-1.9638
2029,-2.1335,0.1622,-2.3350,-1.8205,0.5145,-2.3350,-2.2830,-1.8205,-2.1840,-2.1516,-1.9943,-2.1657
2030,-1.8244,0.1752,-2.0603,-1.4727,0.5876,-2.0603,-1.9343,-1.4727,-1.9016,-1.8960,-1.7202,-1.7854
2031,-1.7650,0.1739,-1.9974,-1.4146,0.5829,-1.9974,-1.8721,-1.4146,-1.8434,-1.8389,-1.6635,-1.7251
2032,-1.7051,0.1736,-1.9342,-1.3531,0.5810,-1.9342,-1.8076,-1.3531,-1.7874,-1.7824,-1.6063,-1.6645
2033,-1.6446,0.1728,-1.8702,-1.2943,0.5759,-1.8702,-1.7453,-1.2943,-1.7294,-1.7254,-1.5470,-1.6003
2034,-1.5880,0.1743,-1.8053,-1.2344,0.5709,-1.8053,-1.6953,-1.2344,-1.6811,-1.6759,-1.4894,-1.5345
2035,-1.5274,0.1738,-1.7403,-1.1741,0.5662,-1.7403,-1.6334,-1.1741,-1.6254,-1.6171,-1.4310,-1.4709
