name,site_name,lat,lon,magt_c,pred_magt,esacci_magt
Vega-23,Chara,56.90167,118.08193,-1.3192916666666668,-1.1459792,-1.599999999999966
Belenkiy-2,Chara,56.76077,118.19162,0.2796833333333333,-2.2463384,-0.8099999999999454
Chabada 5-81,Yakutsk,61.96371,129.41758,-0.3670263157894736,-2.7184153,-2.6399999999999864
Spasskaya 1,Yakutsk,62.25494,129.61749,-1.6224722222222223,-3.784384,-3.069999999999993
Spasskaya 11,Yakutsk,62.25228,129.62031,-0.7180491803278689,-3.90356,-3.0299999999999727
Vorkuta DS-3/VII-74,Vorkuta,67.39564,63.37228,0.5384421487603306,0.91945624,1.32000000000005
Vorkuta EK-67,Vorkuta,67.38333333,63.33333333,0.4006390909090909,0.6115255,0.4500000000000455
Vorkuta K-887,Vorkuta,67.54861,64.17378,-1.7536429889298892,-0.5404393,0.37000000000000455
Vorkuta R-53,Vorkuta,67.33183,62.37263,-1.803201648917898,0.29364535,0.35000000000002274
Vorkuta R-57,Vorkuta,67.32485,62.38992,-2.055676354828943,0.53511274,0.5000000000000568
Vorkuta R-64,Vorkuta,67.3471,62.37699,-1.7128773841961855,0.61130565,0.4700000000000273
Vorkuta R-71,Vorkuta,67.34613,62.33724,0.6584820617620346,0.38485107,0.4200000000000159
Vorkuta R-92,Vorkuta,67.32156,62.38978,-1.0024054054054052,0.47340432,0.5000000000000568
Vorkuta RU0040,Vorkuta,67.33792,62.33707,-0.3117179487179488,0.40453947,0.35000000000002274
Vorkuta SH-15,Vorkuta,67.37059,64.89051,-0.7930303030303031,-0.00091292465,0.8600000000000136
Vorkuta VK-1615,Vorkuta,67.46666667,63.35,-1.5125000000000002,-0.020530228,0.3300000000000409
Vorkuta VK-1618,Vorkuta,67.4456,63.4097,-2.251808452112528,0.6932178,0.44000000000005457
Vorkuta Ya1,Vorkuta,67.50732,64.00369,-2.421307359307359,1.2564291,0.5300000000000296
Vorkuta Ya3,Vorkuta,67.50745,64.00349,-5.696947594837701,1.2564291,0.5300000000000296
Vorkuta ZS-115,Vorkuta,67.38975,63.32717,-9.1645800811739,0.7343024,0.4500000000000455
Vorkuta ZS-117,Vorkuta,67.39219,63.33866,-8.518619313647246,0.69519305,0.4700000000000273
Vorkuta ZS-12,Vorkuta,67.41069,63.39578,-5.5919245354569584,0.9143806,0.410000000000025
Vorkuta ZS-124,Vorkuta,67.39731,63.37544,-4.209932262434682,0.89780426,1.32000000000005
Vorkuta ZS-16,Vorkuta,67.38972,63.41379,-0.4430083798882681,0.64599544,0.34000000000003183
Vorkuta ZS-169,Vorkuta,67.39642,63.36899,-0.3526677335467094,0.91945624,1.32000000000005
Vorkuta ZS-227,Vorkuta,67.39221,63.40096,-0.5207441295546558,0.67507505,0.44000000000005457
Vorkuta ZS-247,Vorkuta,67.39848,63.36788,-0.2570004301537799,0.89780426,1.32000000000005
Vorkuta ZS-25,Vorkuta,67.40012,63.51515,-0.6738682874699439,0.13615854,0.3900000000000432
Vorkuta ZS-34,Vorkuta,67.39673,63.38052,-0.3190921109200344,0.8585596,0.4700000000000273
Vorkuta R-9,Vorkuta,67.34088,62.35008,-2.4625778787878785,0.4022193,0.44000000000005457
Vorkuta SH-14,Vorkuta,67.37031,64.89704,0.0831428571428571,0.0921356,0.8600000000000136
Tiksi_stone_ridge,Tiksi,71.586731,128.777346,-2.5677904761904755,-9.763034,-9.339999999999975
Nadym 1_71,Nadym,65.3086,72.8239,0.6022903325123153,0.16463731,-0.07999999999998408
Nadym ND2,Nadym,65.3134,72.8872,-1.1648165351506456,0.4537258,0.020000000000038654
Nadym ND3,Nadym,65.3146,72.8629,-0.0963333333333333,0.120624654,0.03000000000002956
Nadym ND3_4,Nadym,65.314472,72.861805,-1.5887744316504282,0.20018406,0.03000000000002956
Nadym 11_75,Nadym,65.303303,72.85916,-6.534578431372547,0.3141225,0.020000000000038654
Nadym 12_75,Nadym,65.315638,72.87325,0.0283533468186833,0.23129813,0.03000000000002956
Nadym 8_10,Nadym,65.674762,72.8742,-3.403510638297872,0.41698167,-0.009999999999990905
Nadym PiCla,Nadym,65.3055,72.892027,-1.6914118518518515,0.1820475,0.32000000000005
Nadym Pingo,Nadym,65.298472,72.895,-2.628506711409396,0.3108028,0.020000000000038654
Nadym 14_72,Nadym,65.3153,72.8693,-0.5150484802813363,0.120624654,0.03000000000002956
Nadym 23_75,Nadym,65.3147,72.8606,0.0780399230679566,0.20018406,0.03000000000002956
Nadym 23a_75,Nadym,65.3147,72.8612,-0.4681988441394257,0.20018406,0.03000000000002956
Nadym 4_09,Nadym,65.3225,72.88166,-2.723818181818182,0.6054843,-0.05999999999994543
