year,type,method,median_magt,ci_lower,ci_upper
2007,real,observation,-3.4244,,
2008,real,observation,-3.4570,,
2009,real,observation,-3.1650,,
2010,real,observation,-3.2756,,
2011,real,observation,-3.0295,,
2012,real,observation,-3.3040,,
2013,real,observation,-3.6591,,
2014,real,observation,-3.3445,,
2015,real,observation,-2.9110,,
2016,real,observation,-3.1450,,
2017,real,observation,-3.1126,,
2018,real,observation,-2.9280,,
2019,real,observation,-2.6171,,
2020,real,observation,-2.5967,,
2021,real,observation,-2.4367,,
2022,real,observation,-2.4615,,
2023,real,observation,-2.2088,,
2024,real,observation,-2.3657,,
2025,projection,linear_extrapolation,-2.2846,-2.9848,-1.5562
2025,projection,convlstm_synthetic,-2.8975,,
2026,projection,linear_extrapolation,-2.2107,-2.9237,-1.4717
2026,projection,convlstm_synthetic,-2.4505,,
2027,projection,linear_extrapolation,-2.1374,-2.8629,-1.3837
2027,projection,convlstm_synthetic,-2.4811,,
2028,projection,linear_extrapolation,-2.0643,-2.8012,-1.2965
2028,projection,convlstm_synthetic,-2.2412,,
2029,projection,linear_extrapolation,-1.9889,-2.7627,-1.2071
2029,projection,convlstm_synthetic,-2.2399,,
2030,projection,linear_extrapolation,-1.9144,-2.7117,-1.1167
2030,projection,convlstm_synthetic,-2.1834,,
